Code,Area,Mean £ - 1999-00,Median £ - 1999-00,Mean £ - 2000-01,Median £ - 2000-01,Mean £ - 2001-02,Median £ - 2001-02,Mean £ - 2002-03,Median £ - 2002-03,Mean £ - 2003-04,Median £ - 2003-04,Mean £ - 2004-05,Median £ - 2004-05,Mean £ - 2005-06,Median £ - 2005-06,Mean £ - 2006-07,Median £ - 2006-07,Mean £ - 2007-08,Median £ - 2007-08,Mean £ - 2009-10,Median £ - 2009-10,Mean £ - 2010-11,Median £ - 2010-11,Mean £ - 2011-12,Median £ - 2011-12,Mean £ - 2012-13,Median £ - 2012-13,Mean £ - 2013-14,Median £ - 2013-14
E09000001,City of London,109800,40400,137000,65000,92900,38300,78700,37000,85800,39200,95600,44400,90600,49300,99200,49000,102000,58500,137000,61900,127000,61300,117000,51600,131000,58300,151000,65300
E09000002,Barking and Dagenham,16200,15100,18100,15600,18600,16200,19100,17000,18800,17400,19400,16600,20600,17900,20600,17600,21300,18600,23100,19400,22500,19400,22800,19600,23700,20100,24600,21000
E09000003,Barnet,26800,18700,30800,19400,30400,18700,32300,19700,33900,20000,32800,19900,35600,21200,36700,20400,38700,22000,41600,24300,38800,24100,39200,24200,41000,25800,45500,26800
E09000004,Bexley,20500,17200,19800,17300,22000,18300,21500,17800,21900,17700,22300,17700,24000,19400,24600,19600,26700,19800,27600,22100,27400,22600,28300,22300,28600,23100,29600,24400
E09000005,Brent,20000,16500,22200,16800,21100,16500,21700,16400,22500,16800,21800,16500,23200,17600,24600,18200,24700,18300,26100,19600,26700,19700,27400,20200,28300,20600,29700,21300
E09000006,Bromley,25100,18500,26400,19500,27400,19100,27700,20100,29200,21400,29200,20900,31400,22400,32800,23000,34400,23200,36500,24900,35900,25800,36400,25100,37200,26900,39000,27200
E09000007,Camden,39000,20500,40000,19700,42800,19800,43000,21700,45700,21300,50200,23200,56200,24200,60200,25900,69800,26900,68900,28400,67100,29400,69300,30400,71200,31600,78900,32000
E09000008,Croydon,21500,16700,22100,17300,23500,18300,23400,18000,23300,19000,24300,18600,25800,19600,27200,20700,28100,20900,29700,23100,29000,22000,29700,22700,30700,23900,31800,24300
E09000009,Ealing,22800,16400,23800,17000,25200,17500,25400,18900,26100,19400,26500,19100,26900,19000,28700,19900,30000,20200,32400,21800,30700,20800,32000,21300,32600,22700,34500,23200
E09000010,Enfield,21500,16100,20800,15900,23100,17500,24100,18100,24200,18200,23900,17000,25800,18900,27100,19500,28100,19900,30600,22100,29000,20900,30400,22300,30800,22700,32900,23900
