"","Code","NAME","Year","Income","Measure"
"1","E09000001","City of London",1999,40400,"Median"
"2","E09000002","Barking and Dagenham",1999,15100,"Median"
"3","E09000003","Barnet",1999,18700,"Median"
"4","E09000004","Bexley",1999,17200,"Median"
"5","E09000005","Brent",1999,16500,"Median"
"6","E09000006","Bromley",1999,18500,"Median"
"7","E09000007","Camden",1999,20500,"Median"
"8","E09000008","Croydon",1999,16700,"Median"
"9","E09000009","Ealing",1999,16400,"Median"
"10","E09000010","Enfield",1999,16100,"Median"
"11","E09000011","Greenwich",1999,16600,"Median"
"12","E09000012","Hackney",1999,14400,"Median"
"13","E09000013","Hammersmith and Fulham",1999,19900,"Median"
"14","E09000014","Haringey",1999,15000,"Median"
"15","E09000015","Harrow",1999,16600,"Median"
"16","E09000016","Havering",1999,14800,"Median"
"17","E09000017","Hillingdon",1999,16100,"Median"
"18","E09000018","Hounslow",1999,15200,"Median"
"19","E09000019","Islington",1999,19900,"Median"
"20","E09000020","Kensington and Chelsea",1999,18200,"Median"
"21","E09000021","Kingston upon Thames",1999,20900,"Median"
"22","E09000022","Lambeth",1999,15400,"Median"
"23","E09000023","Lewisham",1999,14900,"Median"
"24","E09000024","Merton",1999,19100,"Median"
"25","E09000025","Newham",1999,13300,"Median"
"26","E09000026","Redbridge",1999,17100,"Median"
"27","E09000027","Richmond upon Thames",1999,20900,"Median"
"28","E09000028","Southwark",1999,14600,"Median"
"29","E09000029","Sutton",1999,16400,"Median"
"30","E09000030","Tower Hamlets",1999,14200,"Median"
"31","E09000031","Waltham Forest",1999,15000,"Median"
"32","E09000032","Wandsworth",1999,18100,"Median"
"33","E09000033","Westminster",1999,17300,"Median"
"34","E12000001","North East",1999,12900,"Median"
"35","E12000002","North West",1999,13500,"Median"
"36","E12000003","Yorkshire and The Humber",1999,13400,"Median"
"37","E12000004","East Midlands",1999,13900,"Median"
"38","E12000005","West Midlands",1999,13800,"Median"
"39","E12000006","East",1999,15500,"Median"
"40","E12000007","London",1999,16600,"Median"
"41","E12000008","South East",1999,15700,"Median"
"42","E12000009","South West",1999,13800,"Median"
"43","E92000001","England",1999,14500,"Median"
"44","W92000004","Wales",1999,13400,"Median"
"45","S92000003","Scotland",1999,13900,"Median"
"46","N92000002","Northern Ireland",1999,13000,"Median"
"47","K02000001","United Kingdom",1999,14400,"Median"
"48","E09000001","City of London",2000,65000,"Median"
"49","E09000002","Barking and Dagenham",2000,15600,"Median"
"50","E09000003","Barnet",2000,19400,"Median"
"51","E09000004","Bexley",2000,17300,"Median"
"52","E09000005","Brent",2000,16800,"Median"
"53","E09000006","Bromley",2000,19500,"Median"
"54","E09000007","Camden",2000,19700,"Median"
"55","E09000008","Croydon",2000,17300,"Median"
"56","E09000009","Ealing",2000,17000,"Median"
"57","E09000010","Enfield",2000,15900,"Median"
"58","E09000011","Greenwich",2000,16000,"Median"
"59","E09000012","Hackney",2000,15800,"Median"
"60","E09000013","Hammersmith and Fulham",2000,19300,"Median"
"61","E09000014","Haringey",2000,16600,"Median"
"62","E09000015","Harrow",2000,19300,"Median"
"63","E09000016","Havering",2000,17000,"Median"
"64","E09000017","Hillingdon",2000,17100,"Median"
"65","E09000018","Hounslow",2000,16600,"Median"
"66","E09000019","Islington",2000,17600,"Median"
"67","E09000020","Kensington and Chelsea",2000,25200,"Median"
"68","E09000021","Kingston upon Thames",2000,18800,"Median"
"69","E09000022","Lambeth",2000,15300,"Median"
"70","E09000023","Lewisham",2000,15300,"Median"
"71","E09000024","Merton",2000,18400,"Median"
"72","E09000025","Newham",2000,14700,"Median"
"73","E09000026","Redbridge",2000,16900,"Median"
"74","E09000027","Richmond upon Thames",2000,21100,"Median"
"75","E09000028","Southwark",2000,15400,"Median"
"76","E09000029","Sutton",2000,17000,"Median"
"77","E09000030","Tower Hamlets",2000,16500,"Median"
"78","E09000031","Waltham Forest",2000,15100,"Median"
"79","E09000032","Wandsworth",2000,21000,"Median"
"80","E09000033","Westminster",2000,23000,"Median"
"81","E12000001","North East",2000,13200,"Median"
"82","E12000002","North West",2000,13900,"Median"
"83","E12000003","Yorkshire and The Humber",2000,13600,"Median"
"84","E12000004","East Midlands",2000,13900,"Median"
"85","E12000005","West Midlands",2000,14300,"Median"
"86","E12000006","East",2000,15800,"Median"
"87","E12000007","London",2000,17600,"Median"
"88","E12000008","South East",2000,16500,"Median"
"89","E12000009","South West",2000,14300,"Median"
"90","E92000001","England",2000,15000,"Median"
"91","W92000004","Wales",2000,13100,"Median"
"92","S92000003","Scotland",2000,14200,"Median"
"93","N92000002","Northern Ireland",2000,13400,"Median"
"94","K02000001","United Kingdom",2000,14800,"Median"
"95","E09000001","City of London",2001,38300,"Median"
"96","E09000002","Barking and Dagenham",2001,16200,"Median"
"97","E09000003","Barnet",2001,18700,"Median"
"98","E09000004","Bexley",2001,18300,"Median"
"99","E09000005","Brent",2001,16500,"Median"
"100","E09000006","Bromley",2001,19100,"Median"
"101","E09000007","Camden",2001,19800,"Median"
"102","E09000008","Croydon",2001,18300,"Median"
"103","E09000009","Ealing",2001,17500,"Median"
"104","E09000010","Enfield",2001,17500,"Median"
"105","E09000011","Greenwich",2001,18600,"Median"
"106","E09000012","Hackney",2001,17700,"Median"
"107","E09000013","Hammersmith and Fulham",2001,21000,"Median"
"108","E09000014","Haringey",2001,19100,"Median"
"109","E09000015","Harrow",2001,19300,"Median"
"110","E09000016","Havering",2001,17400,"Median"
"111","E09000017","Hillingdon",2001,17600,"Median"
"112","E09000018","Hounslow",2001,16500,"Median"
"113","E09000019","Islington",2001,18700,"Median"
"114","E09000020","Kensington and Chelsea",2001,25900,"Median"
"115","E09000021","Kingston upon Thames",2001,19500,"Median"
"116","E09000022","Lambeth",2001,18200,"Median"
"117","E09000023","Lewisham",2001,18000,"Median"
"118","E09000024","Merton",2001,18500,"Median"
"119","E09000025","Newham",2001,15300,"Median"
"120","E09000026","Redbridge",2001,17200,"Median"
"121","E09000027","Richmond upon Thames",2001,23400,"Median"
"122","E09000028","Southwark",2001,16900,"Median"
"123","E09000029","Sutton",2001,17600,"Median"
"124","E09000030","Tower Hamlets",2001,19100,"Median"
"125","E09000031","Waltham Forest",2001,16600,"Median"
"126","E09000032","Wandsworth",2001,21700,"Median"
"127","E09000033","Westminster",2001,21900,"Median"
"128","E12000001","North East",2001,14200,"Median"
"129","E12000002","North West",2001,14600,"Median"
"130","E12000003","Yorkshire and The Humber",2001,14600,"Median"
"131","E12000004","East Midlands",2001,14500,"Median"
"132","E12000005","West Midlands",2001,14800,"Median"
"133","E12000006","East",2001,16500,"Median"
"134","E12000007","London",2001,18500,"Median"
"135","E12000008","South East",2001,17200,"Median"
"136","E12000009","South West",2001,14900,"Median"
"137","E92000001","England",2001,15700,"Median"
